1,Age,Gender,Education,Country,Ethnicity,NScore,EScore,OScore,AScore,CScore,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,LSD,Meth,Mushrooms,Nicotine
22,65+,Male,E1,UK,White,25,43,38,39,53,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
23,45-54,Male,E7,UK,White,40,33,40,50,35,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
24,45-54,Male,E2,UK,White,51,16,37,45,34,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
25,55-64,Male,E7,UK,White,34,44,54,48,51,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
26,45-54,Male,E5,UK,White,28,37,37,49,42,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
27,55-64,Female,E4,Canada,White,35,28,24,38,46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
28,35-44,Male,E7,UK,White,41,31,46,43,25,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
29,35-44,Female,E8,UK,White,36,29,41,45,50,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
30,45-54,Male,E9,UK,White,24,51,52,49,53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
31,45-54,Male,E2,UK,White,39,34,37,33,37,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
32,35-44,Female,E2,Other,White,25,34,47,39,42,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
33,35-44,Male,E7,UK,White,28,31,46,46,42,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
34,18-24,Male,E7,UK,White,40,38,48,51,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
35,35-44,Male,E7,USA,Other,46,44,52,23,36,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
36,65+,Male,E1,UK,White,33,34,28,41,36,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
37,35-44,Male,E7,UK,White,33,36,45,43,30,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
38,55-64,Male,E1,USA,White,39,42,53,44,37,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
39,45-54,Male,E7,UK,White,22,48,48,43,47,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
40,65+,Female,E6,UK,White,33,33,38,38,45,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
41,35-44,Male,E8,UK,White,36,37,46,29,47,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
42,35-44,Female,E7,UK,White,44,40,53,54,39,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
43,35-44,Male,E8,UK,White,34,33,37,43,37,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
44,35-44,Male,E6,UK,White,27,36,44,42,34,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
45,25-34,Male,E7,UK,Other,26,49,49,51,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
46,25-34,Female,E7,UK,White,31,43,54,49,52,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
47,45-54,Female,E5,Canada,White,39,44,38,45,51,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
48,45-54,Male,E8,UK,White,19,45,48,49,49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
49,45-54,Male,E2,UK,White,37,34,44,42,37,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
50,25-34,Female,E8,UK,Mixed-White/Black,44,36,32,37,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
51,35-44,Male,E8,UK,White,46,39,45,35,42,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1
52,45-54,Male,E6,Canada,White,47,46,42,37,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
53,55-64,Female,E7,UK,White,34,40,36,45,36,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
54,45-54,Male,E8,UK,White,23,39,53,45,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
55,55-64,Male,E2,UK,White,36,47,42,36,33,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
56,55-64,Female,E6,UK,White,36,35,38,40,39,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
57,35-44,Female,E5,UK,White,36,40,34,43,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
58,25-34,Female,E7,UK,White,30,44,32,45,47,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
59,45-54,Male,E4,UK,White,38,44,46,40,39,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1
60,45-54,Male,E7,UK,White,31,31,37,32,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
61,25-34,Female,E9,UK,White,49,42,48,41,40,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
62,45-54,Male,E8,UK,Asian,18,50,54,44,50,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
63,25-34,Male,E7,UK,White,30,30,33,34,45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
64,45-54,Male,E7,UK,White,46,38,41,39,42,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
65,45-54,Male,E9,UK,White,22,43,53,40,48,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
66,35-44,Male,E5,UK,White,43,43,40,50,46,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
67,45-54,Male,E2,UK,White,26,35,38,51,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,25-34,Male,E8,UK,White,32,38,53,37,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
69,35-44,Male,E6,Other,White,27,40,48,42,40,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
70,45-54,Female,E2,UK,White,35,35,34,45,42,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
71,25-34,Male,E5,UK,White,32,38,47,30,40,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
72,45-54,Female,E4,Canada,White,31,47,44,50,43,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
73,45-54,Male,E4,UK,White,22,46,46,46,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
74,45-54,Male,E6,UK,White,29,36,44,45,49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
75,65+,Female,E2,UK,White,25,27,26,33,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
76,25-34,Male,E7,UK,White,34,41,35,38,39,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
77,45-54,Female,E3,Canada,White,32,35,35,46,46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
78,35-44,Male,E7,UK,White,37,28,42,35,39,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
79,35-44,Male,E5,UK,White,28,34,31,32,25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
80,35-44,Male,E6,UK,White,32,34,32,50,37,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
81,65+,Female,E9,Canada,White,36,42,49,42,51,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
82,55-64,Female,E7,UK,White,28,31,46,37,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
83,55-64,Male,E8,Canada,White,19,49,39,47,51,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
84,55-64,Female,E3,UK,Mixed-White/Black,46,33,38,52,29,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
85,45-54,Male,E2,UK,White,32,41,44,41,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
86,25-34,Female,E4,UK,White,31,40,35,44,45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
87,35-44,Male,E5,UK,White,43,39,38,44,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
88,55-64,Male,E2,UK,White,27,41,43,41,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
89,35-44,Female,E5,UK,White,39,26,36,38,38,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
90,35-44,Female,E8,UK,White,45,36,48,39,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
91,35-44,Female,E8,UK,White,49,42,51,45,36,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
92,35-44,Male,E6,Canada,White,40,37,51,45,47,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
93,25-34,Male,E4,UK,White,22,38,43,45,42,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
94,65+,Female,E2,UK,White,34,34,39,48,45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
95,45-54,Male,E8,UK,White,29,36,39,47,41,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
96,45-54,Male,E8,UK,White,31,42,53,32,49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
97,35-44,Female,E7,Canada,White,37,32,48,42,47,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
98,45-54,Female,E8,UK,White,31,44,44,39,33,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
99,35-44,Male,E9,Canada,White,25,37,46,39,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
100,25-34,Female,E7,UK,White,29,58,51,49,52,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
101,25-34,Male,E8,Other,White,26,55,50,33,39,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0
102,45-54,Female,E2,Australia,White,30,43,34,42,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
103,45-54,Male,E4,UK,White,30,48,55,34,42,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
104,45-54,Female,E6,Canada,White,36,44,44,41,43,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
105,25-34,Female,E5,Canada,White,27,41,45,50,46,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
106,35-44,Male,E6,UK,White,18,43,33,38,54,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
107,25-34,Female,E5,UK,White,46,38,33,45,39,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
108,35-44,Female,E2,UK,White,37,40,37,38,46,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
109,25-34,Female,E7,UK,White,31,53,47,44,47,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
110,45-54,Female,E5,UK,White,28,43,36,37,38,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
111,45-54,Male,E8,UK,Asian,34,42,47,41,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
112,25-34,Male,E8,UK,White,39,32,40,39,37,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
113,25-34,Female,E7,UK,White,25,42,52,35,36,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
114,45-54,Female,E6,UK,White,36,44,48,44,47,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
115,35-44,Male,E5,UK,White,17,52,55,38,31,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
116,25-34,Female,E6,Canada,White,38,36,40,45,49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
117,35-44,Male,E6,Canada,White,42,36,47,31,39,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
118,25-34,Female,E7,UK,White,51,45,55,44,33,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1
119,35-44,Female,E5,USA,White,53,26,29,50,44,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
120,35-44,Female,E7,UK,White,32,44,39,45,51,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
121,25-34,Female,E8,UK,White,26,44,39,36,47,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
122,35-44,Female,E6,UK,White,50,31,35,29,36,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
123,55-64,Male,E8,UK,White,38,41,45,41,35,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
124,25-34,Female,E7,UK,White,38,35,43,43,43,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
125,45-54,Male,E2,UK,White,32,52,48,46,46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
126,55-64,Male,E7,UK,White,31,48,49,44,49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
127,45-54,Male,E7,UK,White,25,44,38,40,42,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
128,45-54,Female,E3,UK,White,32,34,40,45,48,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,35-44,Male,E9,UK,Asian,36,44,47,44,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,45-54,Female,E8,UK,White,28,46,38,49,45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
131,45-54,Female,E2,UK,White,45,42,36,46,55,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
132,45-54,Female,E2,UK,Other,22,39,37,57,46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
133,35-44,Female,E4,Republic of Ireland,White,33,36,42,42,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
134,35-44,Male,E8,UK,White,35,41,48,42,43,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
135,25-34,Female,E8,UK,Mixed-White/Asian,60,29,44,47,37,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
136,35-44,Female,E2,UK,White,21,50,42,54,52,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
137,45-54,Female,E7,UK,White,34,38,34,54,52,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
138,45-54,Female,E7,UK,White,25,50,48,48,45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
139,55-64,Male,E7,UK,White,31,34,47,45,48,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
140,45-54,Male,E2,UK,White,35,42,42,49,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
141,25-34,Female,E7,UK,Asian,54,42,55,49,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
142,35-44,Female,E2,UK,White,28,44,38,51,46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
143,35-44,Male,E3,UK,White,31,38,37,45,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
144,35-44,Male,E6,UK,Black,21,48,42,51,54,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
145,45-54,Male,E6,Canada,White,37,32,43,35,42,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
146,45-54,Female,E7,UK,White,31,41,38,56,47,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
147,55-64,Male,E6,UK,White,38,31,45,40,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
148,35-44,Male,E8,UK,Black,30,43,41,44,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
149,35-44,Female,E6,UK,White,35,32,28,37,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
150,45-54,Female,E7,UK,White,28,52,41,55,52,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
151,35-44,Female,E5,UK,White,33,48,47,47,49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
152,35-44,Female,E7,UK,White,41,28,33,46,35,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
153,25-34,Female,E7,UK,White,31,29,41,39,37,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
154,25-34,Male,E7,UK,White,29,46,34,48,47,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
155,18-24,Female,E5,UK,White,59,30,51,40,46,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
156,35-44,Female,E7,UK,Black,42,30,37,45,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
157,35-44,Female,E5,UK,White,48,40,44,50,43,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
158,25-34,Male,E2,UK,White,26,47,33,40,47,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
159,35-44,Female,E7,Australia,White,33,41,44,41,45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
160,45-54,Female,E5,UK,Black,31,36,42,44,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
161,45-54,Male,E8,Other,White,46,45,49,42,44,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
162,35-44,Male,E7,UK,Black,29,42,40,54,39,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
163,25-34,Female,E7,New Zealand,White,38,40,45,53,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
164,25-34,Female,E5,UK,White,53,40,44,49,43,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
165,25-34,Female,E9,UK,White,37,42,35,52,49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
166,45-54,Male,E8,UK,White,33,38,44,40,52,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
167,18-24,Male,E5,UK,White,50,31,51,27,27,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
168,25-34,Female,E6,UK,Black,36,40,39,40,48,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
169,25-34,Female,E7,UK,White,38,48,37,41,33,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
170,18-24,Female,E4,UK,White,32,40,36,47,41,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
171,45-54,Male,E2,UK,White,49,38,44,44,41,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
172,35-44,Male,E8,UK,White,32,46,58,48,36,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
173,45-54,Female,E6,UK,White,41,36,43,40,47,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
174,35-44,Female,E7,UK,White,46,44,54,44,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
175,35-44,Female,E6,UK,White,46,36,30,48,30,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
176,55-64,Female,E7,UK,White,42,40,49,51,43,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
177,35-44,Female,E7,UK,Other,34,36,40,35,38,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
178,35-44,Female,E7,UK,White,50,40,37,37,49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
179,45-54,Female,E7,UK,White,44,33,43,48,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
180,35-44,Female,E6,UK,White,40,39,39,50,37,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
181,45-54,Female,E6,UK,White,39,44,35,45,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
182,25-34,Male,E9,UK,White,24,37,44,47,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
183,35-44,Female,E5,UK,White,39,45,44,51,47,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
184,18-24,Female,E7,UK,White,54,37,48,38,48,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1
185,55-64,Male,E4,UK,White,36,34,39,47,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
186,35-44,Female,E7,Canada,White,39,44,46,48,41,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
187,35-44,Female,E8,UK,White,29,49,47,45,53,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
188,55-64,Female,E2,UK,White,28,34,32,50,46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
189,45-54,Female,E2,UK,White,40,30,31,47,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
190,18-24,Female,E8,UK,White,32,40,43,44,47,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
191,55-64,Female,E6,UK,White,23,40,40,47,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
192,18-24,Male,E7,UK,Mixed-White/Asian,32,48,38,47,38,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
193,25-34,Female,E6,Canada,White,28,38,45,45,38,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
194,45-54,Female,E7,UK,White,39,32,43,44,43,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
195,25-34,Female,E7,Canada,Mixed-White/Asian,27,48,46,43,45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
196,55-64,Female,E7,UK,White,42,42,51,41,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
197,18-24,Male,E7,UK,Black,30,42,42,51,35,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
198,55-64,Female,E7,UK,White,32,43,41,37,38,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
199,25-34,Female,E6,UK,White,35,43,50,48,42,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1
200,45-54,Female,E6,UK,White,31,54,51,54,50,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1
201,18-24,Female,E7,UK,White,30,41,40,50,51,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
202,35-44,Male,E8,UK,Other,34,33,42,34,50,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1
203,35-44,Female,E7,UK,White,29,48,43,49,49,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
204,65+,Male,E1,UK,White,22,32,29,37,37,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
205,25-34,Female,E7,UK,White,34,46,54,43,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
206,35-44,Female,E2,UK,White,34,47,48,37,34,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
207,18-24,Female,E7,UK,White,35,48,50,44,45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
208,35-44,Female,E6,UK,White,29,43,42,47,41,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
209,35-44,Female,E7,UK,White,37,40,45,41,42,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1
210,25-34,Male,E8,UK,Asian,23,43,53,40,49,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
211,25-34,Female,E5,UK,White,43,41,36,43,32,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
212,45-54,Female,E2,UK,White,29,36,38,50,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
213,25-34,Female,E6,UK,White,37,44,40,54,46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
214,45-54,Female,E6,Republic of Ireland,White,41,39,37,49,43,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
215,25-34,Female,E6,UK,White,34,47,49,51,50,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
216,25-34,Female,E7,Canada,White,51,38,41,50,39,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
217,25-34,Female,E6,UK,White,38,47,48,52,42,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
218,35-44,Male,E6,UK,White,48,45,49,52,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
219,25-34,Female,E8,Other,White,39,47,40,36,47,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
220,35-44,Female,E5,UK,White,32,36,47,50,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
221,18-24,Female,E7,UK,White,44,38,48,43,43,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
222,25-34,Female,E7,UK,White,34,43,43,38,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
223,35-44,Female,E7,UK,White,33,44,51,50,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
224,55-64,Male,E7,UK,White,25,47,44,50,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
225,45-54,Female,E7,UK,White,31,49,48,46,47,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
226,35-44,Female,E7,UK,White,24,44,52,40,44,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
227,45-54,Female,E7,UK,White,31,43,41,52,51,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
228,18-24,Male,E5,UK,White,38,46,39,39,46,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
229,45-54,Male,E8,UK,White,29,42,46,38,41,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
230,45-54,Female,E7,UK,White,26,49,47,49,52,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
231,35-44,Female,E6,UK,White,46,23,33,47,45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
232,65+,Female,E8,UK,White,37,32,43,40,44,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
